Unique Key,Latitude,Longitude
1,40.750017,-73.991345
2,40.746712,-74.001826
3,40.774408,-73.959729
4,40.797577,-73.941280
5,40.806587,-73.940015
6,40.781958,-73.977638
7,40.799581,-73.961602
8,40.730573,-73.988674
9,40.721757,-74.002078
10,40.799564,-73.961570
11,40.726473,-73.975181
12,40.711442,-74.000851
13,40.726563,-73.990331
14,40.754515,-73.988071
15,40.785287,-73.973430
16,40.845469,-73.940468
17,40.814637,-73.951912
18,40.740454,-74.007816
19,40.721811,-73.987467
20,40.761894,-73.966349
21,40.741702,-73.983162
22,40.782486,-73.946934
23,40.787156,-73.944074
24,40.720354,-73.989318
25,40.780406,-73.985940
26,40.780406,-73.985940
27,40.784555,-73.977601
28,40.723566,-73.998366
29,40.720822,-73.980602
30,40.795584,-73.961836
31,40.804490,-73.967867
32,40.714793,-74.009357
33,40.800119,-73.962837
34,40.729328,-73.979939
35,40.729636,-73.983818
36,40.704785,-74.014099
37,40.709543,-73.996162
38,40.787156,-73.944074
39,40.813769,-73.956612
40,40.802917,-73.965613
41,40.723055,-74.000999
42,40.768372,-73.967205
43,40.711080,-74.000397
44,40.711571,-73.999903
45,40.711566,-73.996840
46,40.727032,-74.004308
47,40.825006,-73.949133
48,40.734426,-73.987714
49,40.762714,-73.990975
50,40.725896,-73.974413
51,40.725578,-73.974644
52,40.724601,-73.974540
53,40.723382,-73.973992
54,40.718924,-74.003164
55,40.852295,-73.941359
56,40.751306,-73.987656
57,40.777945,-73.976007
58,40.767711,-73.970516
59,40.763683,-73.996220
60,40.825727,-73.948804
61,40.825727,-73.948804
62,40.752641,-74.007576
63,40.707437,-74.013194
64,40.776141,-73.963844
65,40.768656,-73.989541
66,40.722512,-73.974501
67,40.722073,-73.974667
68,40.722512,-73.974501
69,40.850510,-73.934485
70,40.733987,-74.009219
71,40.709676,-74.014929
72,40.755067,-73.992456
73,40.708266,-74.008231
74,40.785671,-73.942548
75,40.828316,-73.937929
76,40.806244,-73.939792
77,40.718946,-73.989473
78,40.763146,-73.966497
79,40.755973,-74.001837
80,40.726168,-74.007494
81,40.734548,-73.996291
82,40.801174,-73.949794
83,40.754906,-73.965393
84,40.745869,-73.988635
85,40.755641,-73.975109
86,40.760820,-73.975093
87,40.729530,-74.003092
88,40.753045,-74.000282
89,40.757477,-73.963002
90,40.806899,-73.943385
91,40.732554,-73.981537
92,40.723783,-74.001465
93,40.752641,-74.007576
94,40.745925,-74.003948
95,40.717489,-73.999196
96,40.703479,-74.009918
97,40.792888,-73.951826
98,40.755978,-73.992694
99,40.800256,-73.937558
100,40.745183,-74.008236
101,40.752032,-73.999004
102,40.746712,-74.001826
103,40.817619,-73.947083
104,40.765914,-73.984975
105,40.771243,-73.959500
106,40.794797,-73.974188
107,40.785209,-73.980522
108,40.781958,-73.977638
109,40.751823,-73.992569
110,40.747121,-74.004865
111,40.771378,-73.953405
112,40.788839,-73.966758
113,40.742562,-73.974399
114,40.783444,-73.983137
115,40.723214,-74.006205
116,40.770931,-73.981078
117,40.747239,-73.995294
118,40.792839,-73.922819
119,40.828254,-73.946861
120,40.794797,-73.974188
121,40.820997,-73.945418
122,40.867826,-73.917059
123,40.726327,-74.002035
124,40.712666,-73.994398
125,40.799999,-73.956607
126,40.715905,-73.990895
127,40.784826,-73.949611
128,40.851303,-73.933906
129,40.795146,-73.948368
130,40.720041,-73.989260
131,40.777538,-73.962919
132,40.808899,-73.942173
133,40.745183,-74.008236
134,40.800256,-73.937558
135,40.807947,-73.954680
136,40.713265,-74.007063
137,40.716822,-73.990909
138,40.802228,-73.950144
139,40.775065,-73.988634
140,40.767637,-73.968469
141,40.754943,-73.972586
142,40.834787,-73.946852
143,40.715227,-74.007070
144,40.770141,-73.961558
145,40.760820,-73.975093
146,40.763298,-73.989098
147,40.728427,-73.995378
148,40.727941,-74.008757
149,40.782649,-73.973146
150,40.784450,-73.975384
151,40.808812,-73.950070
152,40.757287,-73.962551
153,40.795146,-73.948368
154,40.744366,-73.976189
155,40.823872,-73.937438
156,40.717891,-73.979824
157,40.775878,-73.949142
158,40.800119,-73.962837
159,40.800119,-73.962837
160,40.786214,-73.973621
161,40.717050,-73.991487
162,40.797834,-73.951465
163,40.804242,-73.964858
164,40.723580,-73.997193
165,40.823468,-73.953275
166,40.723720,-73.998211
167,40.755613,-73.990962
168,40.767675,-73.953133
169,40.801174,-73.949794
170,40.805872,-73.954295
171,40.735077,-74.006528
172,40.800256,-73.937558
173,40.763736,-73.958150
174,40.756959,-73.979025
175,40.725292,-74.001317
176,40.749957,-74.003674
177,40.823024,-73.938049
178,40.816176,-73.943706
179,40.808523,-73.947278
180,40.720822,-73.980602
181,40.780955,-73.960826
182,40.725578,-73.974644
183,40.725599,-73.972443
184,40.725155,-73.972696
185,40.724570,-73.974143
186,40.723802,-73.975940
187,40.735261,-74.000610
188,40.766492,-73.981827
189,40.773840,-73.959725
190,40.721041,-73.993744
191,40.717898,-74.004524
192,40.747166,-73.977898
193,40.743825,-73.992901
194,40.742867,-74.002136
195,40.740006,-73.986507
196,40.752641,-74.007576
197,40.793093,-73.974799
198,40.760425,-73.989398
199,40.850626,-73.934377
200,40.850626,-73.934377
